t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,6.233932604196538705e+02,3.356227084687821272e+00,8.073936868525596537e+02,7.000000000000000000e+01,3.307999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,5.694098413190920382e+01,3.287954167813374511e+02,5.126397141354598119e+00,-2.769808297907828205e+02,7.000000000000000000e+01,3.307999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,3.287954167813374511e+02,6.896567198021374523e+00,-3.587343456387660723e+01,7.000000000000000000e+01,3.310999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,3.285282482411575984e+02,8.665298871651856416e+00,-4.992207727480199253e+00,7.000000000000000000e+01,3.321000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,3.276376864405580704e+02,1.042923593516135483e+01,-1.799990065762234748e+00,7.000000000000000000e+01,3.327000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,3.271033493601983650e+02,1.219029623259826423e+01,-9.251791501479977864e-01,7.000000000000000000e+01,3.304999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,3.290625853215173038e+02,1.396190467230133514e+01,2.417697561736761980e+00,7.000000000000000000e+01,3.310999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,3.285282482411575984e+02,1.573063634593181703e+01,-3.789213415110472272e-01,7.000000000000000000e+01,3.360000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,3.241644954182199854e+02,1.747587442996948326e+01,-5.700832164479041175e+00,7.000000000000000000e+01,3.360000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,3.241644954182199854e+02,1.922111251400714949e+01,-7.383486783780565110e-01,7.000000000000000000e+01,3.389000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,3.215818661964814282e+02,2.095244622869396522e+01,-3.440544631218263927e+00,7.000000000000000000e+01,3.417999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00
