t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,6.233932604196538705e+02,3.356227084687821272e+00,8.073936868525596537e+02,7.000000000000000000e+01,3.360000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,4.628734912240076937e+01,3.241644954182199854e+02,5.101465168725487942e+00,-2.829786114645447128e+02,7.000000000000000000e+01,3.346999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,3.253222257589993660e+02,6.852936245920432157e+00,-3.515079752081948072e+01,7.000000000000000000e+01,3.356000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,3.245207201384598079e+02,8.600092174006491064e+00,-5.590666437857517046e+00,7.000000000000000000e+01,3.350000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,3.250550572188195133e+02,1.035012486816514077e+01,-3.202872834293080118e-02,7.000000000000000000e+01,3.346999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,3.253222257589993660e+02,1.210159594536008498e+01,3.418776347007100869e-01,7.000000000000000000e+01,3.342999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,3.256784504792391886e+02,1.385498486660342188e+01,5.056464267893702180e-01,7.000000000000000000e+01,3.368999999999999773e+01,5.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,3.233629897976804841e+02,1.559590780153220457e+01,-2.933401560898933003e+00,7.000000000000000000e+01,3.375999999999999801e+01,5.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,3.227395965372608089e+02,1.733347450937629830e+01,-1.187315968925180210e+00,7.000000000000000000e+01,3.417999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,3.189992369747428711e+02,1.905090385471226710e+01,-4.998138473616219990e+00,7.000000000000000000e+01,3.424000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,3.184648998943831657e+02,2.076545643397564689e+01,-1.339390370907846739e+00,7.000000000000000000e+01,3.450000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,3.161494392128244613e+02,2.246754302692447069e+01,-3.172363249619883252e+00,7.000000000000000000e+01,3.485000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,3.130324729107261987e+02,2.415284848444985499e+01,-4.447840065826802025e+00,7.000000000000000000e+01,3.504999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,3.112513493095271997e+02,2.582856472173327589e+01,-2.882905325011322795e+00,7.000000000000000000e+01,3.542999999999999972e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+02,3.078672144672490845e+02,2.748606144055696276e+01,-4.756376514301583924e+00,7.000000000000000000e+01,3.582000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+02,3.043940234449109994e+02,2.912485917990881745e+01,-5.114362865451218987e+00,7.000000000000000000e+01,3.614000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+02,3.015442256829925896e+02,3.074831416687352714e+01,-4.353334120000657670e+00,7.000000000000000000e+01,3.650000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+02,2.983382032008343572e+02,3.235450855740269560e+01,-4.716136582143361622e+00,7.000000000000000000e+01,3.665999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+02,2.969133043198751807e+02,3.395303157173829334e+01,-2.456286181430038962e+00,7.000000000000000000e+01,3.714000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+02,2.926386076769975375e+02,3.552854045749317891e+01,-5.854542084416108239e+00,7.000000000000000000e+01,3.727000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+02,2.914808773362181569e+02,3.709781635009078116e+01,-2.257701982713928857e+00,7.000000000000000000e+01,3.775000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+02,2.872061806933405705e+02,3.864407811410767124e+01,-5.828822263793627556e+00,7.000000000000000000e+01,3.810999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+02,2.840001582111823382e+02,4.017307928168902009e+01,-4.907235826867677453e+00,7.000000000000000000e+01,3.856000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+02,2.799926301084845477e+02,4.168050470372595129e+01,-5.825953283820396678e+00,7.000000000000000000e+01,3.888000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
