t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,2.553500151715953734e+02,1.374754414921703471e+00,3.307189911685345010e+02,7.000000000000000000e+01,3.663000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.217290000896590954e+02,2.030119483863663810e+00,-1.302271400787417406e+02,7.000000000000000000e+01,3.650000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,1.222032215464063540e+02,2.688037668147622128e+00,-1.625229900380363546e+01,7.000000000000000000e+01,3.678999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,1.211453429121240362e+02,3.340260441284047310e+00,-3.475053436683857910e+00,7.000000000000000000e+01,3.685000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,1.209264714705483641e+02,3.991304853493396809e+00,-7.335482588920760882e-01,7.000000000000000000e+01,3.688000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,1.208170357497605352e+02,4.641760085239208244e+00,-2.367429081668588897e-01,7.000000000000000000e+01,3.688000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,1.208170357497605352e+02,5.292215316985020124e+00,-3.066198202597874428e-02,7.000000000000000000e+01,3.688000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,1.208170357497605352e+02,5.942670548730832003e+00,-3.971215649251089684e-03,7.000000000000000000e+01,3.717000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,1.197591571154782173e+02,6.587430369329110746e+00,-1.370635870597950001e+00,7.000000000000000000e+01,3.703999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,1.202333785722254760e+02,7.234743305269387470e+00,4.366732089388709603e-01,7.000000000000000000e+01,3.729999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,1.192849356587309870e+02,7.876950010525669121e+00,-1.171828680008904389e+00,7.000000000000000000e+01,3.765999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,1.179717070092770683e+02,8.512086550219496672e+00,-1.852611027614809336e+00,7.000000000000000000e+01,3.778999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,1.174974855525298096e+02,9.144669974571325355e+00,-8.541350844542048293e-01,7.000000000000000000e+01,3.810999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,1.163301711974596628e+02,9.770968807312083726e+00,-1.622482359956677334e+00,7.000000000000000000e+01,3.820000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+02,1.160018640350961618e+02,1.039550009866222879e+01,-6.353474713858827672e-01,7.000000000000000000e+01,3.865999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+02,1.143238496496828560e+02,1.101099728957145985e+01,-2.255583857322096097e+00,7.000000000000000000e+01,3.878000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+02,1.138861067665315261e+02,1.162413775862653864e+01,-8.590809220769241028e-01,7.000000000000000000e+01,3.935999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+02,1.117703494979668903e+02,1.222588740538655294e+01,-2.851507749142008663e+00,7.000000000000000000e+01,3.964999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+02,1.107124708636845583e+02,1.282194164099903411e+01,-1.739437262303145104e+00,7.000000000000000000e+01,3.988000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+02,1.098734636709778840e+02,1.341347882639105826e+01,-1.311932978695782737e+00,7.000000000000000000e+01,4.022999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00
