t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,6.233932604196538705e+02,3.356227084687821272e+00,8.073936868525596537e+02,7.000000000000000000e+01,3.603999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,3.024347874835921175e+02,3.356227084687821272e+00,-3.111220485491196541e+02,7.000000000000000000e+01,3.597999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,3.029691245639518229e+02,3.356227084687821272e+00,-3.960321512293245405e+01,7.000000000000000000e+01,3.600999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,3.027019560237719702e+02,3.356227084687821272e+00,-5.475273789936488278e+00,7.000000000000000000e+01,3.597999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,3.029691245639518229e+02,3.356227084687821272e+00,-3.631094060259581480e-01,7.000000000000000000e+01,3.597999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,3.029691245639518229e+02,3.356227084687821272e+00,-4.702845870755558572e-02,7.000000000000000000e+01,3.597999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,3.029691245639518229e+02,3.356227084687821272e+00,-6.090935381195141003e-03,7.000000000000000000e+01,3.597999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,3.029691245639518229e+02,3.356227084687821272e+00,-7.888732660493166316e-04,7.000000000000000000e+01,3.588000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,3.038596863645512940e+02,3.356227084687821272e+00,1.153317380978069018e+00,7.000000000000000000e+01,3.595000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,3.032362931041316187e+02,3.356227084687821272e+00,-6.580206936777295290e-01,7.000000000000000000e+01,3.600999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,3.027019560237719702e+02,3.356227084687821272e+00,-7.772759050952938731e-01,7.000000000000000000e+01,3.621000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,3.009208324225729143e+02,3.356227084687821272e+00,-2.407508730481835446e+00,7.000000000000000000e+01,3.639999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,2.992287650014338851e+02,3.356227084687821272e+00,-2.503307923973023374e+00,7.000000000000000000e+01,3.646000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,2.986944279210741797e+02,3.356227084687821272e+00,-1.016270028831509409e+00,7.000000000000000000e+01,3.650000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
