t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,6.412044964316439746e+02,3.452119287107473067e+00,8.304620779054899913e+02,7.200000000000000000e+01,2.557000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+02,4.134878440183504154e+02,5.678256766279695000e+00,-1.873712968663243714e+02,7.200000000000000000e+01,2.551000000000000156e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,4.140221810987100639e+02,7.907271011524506399e+00,-2.357551928536656050e+01,7.200000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,4.149127428993096487e+02,1.014107986689030128e+01,-1.899986161502750237e+00,7.200000000000000000e+01,2.564000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,4.128644507579307970e+02,1.236386111897783557e+01,-2.898943478716685007e+00,7.200000000000000000e+01,2.585999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,4.109052147966118582e+02,1.457609422879920835e+01,-2.912982426737767305e+00,7.200000000000000000e+01,2.573000000000000043e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,4.120629451373911820e+02,1.679456033177785912e+01,1.122167739872434122e+00,7.200000000000000000e+01,2.598999999999999844e+01,5.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,4.097474844558325344e+02,1.900056044844195569e+01,-2.853552218982926547e+00,7.200000000000000000e+01,2.608999999999999986e+01,5.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,4.088569226552329496e+02,2.120176595498506700e+01,-1.523000071556933621e+00,7.200000000000000000e+01,2.633999999999999986e+01,5.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,4.066305181537342150e+02,2.339098493622572406e+01,-3.080801678674643274e+00,7.200000000000000000e+01,2.644000000000000128e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,4.057399563531347439e+02,2.557540930734539586e+01,-1.552432500610018140e+00,7.200000000000000000e+01,2.676000000000000156e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,4.028901585912162773e+02,2.774449092607792267e+01,-3.892007334458456480e+00,7.200000000000000000e+01,2.698999999999999844e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,4.008418664498374824e+02,2.990254494153219156e+01,-3.156941988042459180e+00,7.200000000000000000e+01,2.737999999999999901e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,3.973686754274993973e+02,3.204189997751463181e+01,-4.907210587583102246e+00,7.200000000000000000e+01,2.757000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+02,3.956766080063603113e+02,3.417214525426719973e+01,-2.827059178049632582e+00,7.200000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+02,3.947860462057607833e+02,3.629759592089878595e+01,-1.519568800262601771e+00,7.200000000000000000e+01,2.807999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+02,3.911347428233028722e+02,3.840338868603434719e+01,-4.925828558556778702e+00,7.200000000000000000e+01,2.841000000000000014e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+02,3.881958888813244926e+02,4.049335923777066171e+01,-4.444257875902779986e+00,7.200000000000000000e+01,2.869999999999999929e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+02,3.856132596595858786e+02,4.256942542015612929e+01,-3.920518971671764330e+00,7.200000000000000000e+01,2.905000000000000071e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+02,3.824962933574876729e+02,4.462871046711815382e+01,-4.544738162922070224e+00,7.200000000000000000e+01,2.946999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+02,3.787559337949697351e+02,4.666785815157205519e+01,-5.432978189673935532e+00,7.200000000000000000e+01,2.969999999999999929e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+02,3.767076416535908265e+02,4.869597823274769866e+01,-3.356522288170863177e+00,7.200000000000000000e+01,3.012000000000000099e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+02,3.729672820910728888e+02,5.070396095141521187e+01,-5.279085285017523610e+00,7.200000000000000000e+01,3.057000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+02,3.689597539883751551e+02,5.269036792453830031e+01,-5.874113718658450445e+00,7.200000000000000000e+01,3.094999999999999929e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+02,3.655756191460969831e+02,5.465855537920165830e+01,-5.143785703079996274e+00,7.200000000000000000e+01,3.128000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+02,3.626367652041186602e+02,5.661092062046577666e+01,-4.472486801954048907e+00,7.200000000000000000e+01,3.160000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+02,3.597869674422002504e+02,5.854794310934274648e+01,-4.270200933565417856e+00,7.200000000000000000e+01,3.198000000000000043e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+02,3.564028325999220783e+02,6.046674607975998583e+01,-4.936053419276596799e+00,7.200000000000000000e+01,3.227000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+02,3.538202033781835212e+02,6.237164468082637114e+01,-3.984214337366676517e+00,7.200000000000000000e+01,3.256000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+02,3.512375741564449640e+02,6.426263891254190241e+01,-3.860935996963017924e+00,7.200000000000000000e+01,3.292000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+02,3.480315516742867317e+02,6.613637254782190666e+01,-4.652363172772363775e+00,7.200000000000000000e+01,3.324000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+02,3.451817539123683218e+02,6.799476343071476947e+01,-4.293497792135061886e+00,7.200000000000000000e+01,3.336999999999999744e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+02,3.440240235715889980e+02,6.984692132045034896e+01,-2.055521852367798274e+00,7.200000000000000000e+01,3.392000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+02,3.391259336682916796e+02,7.167270885452052198e+01,-6.610030399532260681e+00,7.200000000000000000e+01,3.429999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+02,3.357417988260136212e+02,7.348027687013096454e+01,-5.239098649162619914e+00,7.200000000000000000e+01,3.465999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+02,3.325357763438553889e+02,7.527058428930587297e+01,-4.830857214253159171e+00,7.200000000000000000e+01,3.514000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,1.000000000000000000e+02,3.282610797009777457e+02,7.703787757990005503e+01,-6.162086901245492854e+00,7.200000000000000000e+01,3.539999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+02,3.259456190194190413e+02,7.879270488417968465e+01,-3.796979359453847902e+00,7.200000000000000000e+01,3.582000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.800000000000000000e+01,1.000000000000000000e+02,3.222052594569011035e+02,8.052739482595119114e+01,-5.336131499864961825e+00,7.200000000000000000e+01,3.595000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+02,3.210475291161217228e+02,8.225585177456541430e+01,-2.190559544747503473e+00,7.200000000000000000e+01,3.650000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,1.000000000000000000e+02,3.161494392128244613e+02,8.395793836751423100e+01,-6.627519934186614670e+00,7.200000000000000000e+01,3.678999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+02,3.135668099910859041e+02,8.564612059111220788e+01,-4.203286225430000300e+00,7.200000000000000000e+01,3.714000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.200000000000000000e+01,1.000000000000000000e+02,3.104498436889876416e+02,8.731752167928674169e+01,-4.581361031667853467e+00,7.200000000000000000e+01,3.746000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000000e+02,3.076000459270692318e+02,8.897358001507413405e+01,-4.284301882567126185e+00,7.200000000000000000e+01,3.765999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.400000000000000000e+01,1.000000000000000000e+02,3.058189223258702327e+02,9.062004913061956302e+01,-2.861724522281066552e+00,7.200000000000000000e+01,3.807999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.500000000000000000e+01,1.000000000000000000e+02,3.020785627633522950e+02,9.224638088365685462e+01,-5.215001083629263512e+00,7.200000000000000000e+01,3.824000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.600000000000000000e+01,1.000000000000000000e+02,3.006536638823930616e+02,9.386504126050057550e+01,-2.520897089931669832e+00,7.200000000000000000e+01,3.875000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.700000000000000000e+01,1.000000000000000000e+02,2.961117986993356226e+02,9.545924912572729681e+01,-6.208936093232732212e+00,7.200000000000000000e+01,3.890999999999999659e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.800000000000000000e+01,1.000000000000000000e+02,2.946868998183764461e+02,9.704578561476043319e+01,-2.649627524289405400e+00,7.200000000000000000e+01,3.932999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.900000000000000000e+01,1.000000000000000000e+02,2.909465402558585083e+02,9.861218474128544642e+01,-5.187531140007548558e+00,7.200000000000000000e+01,3.971999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+01,1.000000000000000000e+02,2.874733492335204232e+02,1.001598848883386239e+02,-5.170204265247221542e+00,7.200000000000000000e+01,3.993999999999999773e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.100000000000000000e+01,1.000000000000000000e+02,2.855141132722014845e+02,1.016970368931256417e+02,-3.207146919149196584e+00,7.200000000000000000e+01,4.022999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.200000000000000000e+01,1.000000000000000000e+02,2.829314840504629274e+02,1.032202845285618196e+02,-3.760293374149729750e+00,7.200000000000000000e+01,4.064999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.300000000000000000e+01,1.000000000000000000e+02,2.791911244879449896e+02,1.047233948014898601e+02,-5.331380079724396204e+00,7.200000000000000000e+01,4.088000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.400000000000000000e+01,1.000000000000000000e+02,2.771428323465660810e+02,1.062154774711396499e+02,-3.343363712713343983e+00,7.200000000000000000e+01,4.127000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.500000000000000000e+01,1.000000000000000000e+02,2.736696413242280528e+02,1.076888611613176039e+02,-4.931355173857602026e+00,7.200000000000000000e+01,4.156000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.600000000000000000e+01,1.000000000000000000e+02,2.710870121024894956e+02,1.091483404821447039e+02,-3.983605839660424586e+00,7.200000000000000000e+01,4.156000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.700000000000000000e+01,1.000000000000000000e+02,2.710870121024894956e+02,1.106078198029718038e+02,-5.159404841312612566e-01,7.200000000000000000e+01,4.203999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.800000000000000000e+01,1.000000000000000000e+02,2.668123154596118525e+02,1.120442849952181916e+02,-5.603236373273762005e+00,7.200000000000000000e+01,4.229999999999999716e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.900000000000000000e+01,1.000000000000000000e+02,2.644968547780532049e+02,1.134682842011500270e+02,-3.724599303905148595e+00,7.200000000000000000e+01,4.259000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+01,1.000000000000000000e+02,2.619142255563145341e+02,1.148783790377310083e+02,-3.827311709962025965e+00,7.200000000000000000e+01,4.288000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.100000000000000000e+01,1.000000000000000000e+02,2.593315963345759769e+02,1.162745695049611356e+02,-3.840614604535416809e+00,7.200000000000000000e+01,4.310000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.200000000000000000e+01,1.000000000000000000e+02,2.573723603732570950e+02,1.176602118299251032e+02,-3.034943854675818731e+00,7.200000000000000000e+01,4.342000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.300000000000000000e+01,1.000000000000000000e+02,2.545225626113386852e+02,1.190305114025019293e+02,-4.084016196914506125e+00,7.200000000000000000e+01,4.381000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.400000000000000000e+01,1.000000000000000000e+02,2.510493715890006001e+02,1.203821119956069197e+02,-5.027281481994639201e+00,7.200000000000000000e+01,4.410000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.500000000000000000e+01,1.000000000000000000e+02,2.484667423672620430e+02,1.217198082193610702e+02,-3.996029826333103774e+00,7.200000000000000000e+01,4.435999999999999943e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.600000000000000000e+01,1.000000000000000000e+02,2.461512816857033386e+02,1.230450384568006541e+02,-3.516440425415758853e+00,7.200000000000000000e+01,4.475000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.700000000000000000e+01,1.000000000000000000e+02,2.426780906633652535e+02,1.243515697147684165e+02,-4.953771368264813013e+00,7.200000000000000000e+01,4.488000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.800000000000000000e+01,1.000000000000000000e+02,2.415203603225858728e+02,1.256518679795788955e+02,-2.141037810080328452e+00,7.200000000000000000e+01,4.503999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.900000000000000000e+01,1.000000000000000000e+02,2.400954614416266963e+02,1.269444948681958039e+02,-2.122769824486132162e+00,7.200000000000000000e+01,4.552000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+01,1.000000000000000000e+02,2.358207647987490532e+02,1.282141076282320000e+02,-5.811346397494934202e+00,7.200000000000000000e+01,4.581000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00
7.100000000000000000e+01,1.000000000000000000e+02,2.332381355770104960e+02,1.294698160189173564e+02,-4.097578736635947294e+00,7.200000000000000000e+01,4.613000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
