t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,6.233932604196538705e+02,3.356227084687821272e+00,8.073936868525596537e+02,7.000000000000000000e+01,3.389000000000000057e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,3.215818661964814282e+02,3.356227084687821272e+00,-2.863235281672195924e+02,7.000000000000000000e+01,3.378999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,3.224724279970809562e+02,3.356227084687821272e+00,-3.593004344211570356e+01,7.000000000000000000e+01,3.365999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,3.236301583378603368e+02,3.356227084687821272e+00,-3.154068195738420233e+00,7.000000000000000000e+01,3.375999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,3.227395965372608089e+02,3.356227084687821272e+00,-1.561921682975521808e+00,7.000000000000000000e+01,3.375999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,3.227395965372608089e+02,3.356227084687821272e+00,-2.022937664330261842e-01,7.000000000000000000e+01,3.360000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,3.241644954182199854e+02,3.356227084687821272e+00,1.819271015434925198e+00,7.000000000000000000e+01,3.389000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,3.215818661964814282e+02,3.356227084687821272e+00,-3.109292093652447964e+00,7.000000000000000000e+01,3.385000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,3.219380909167212508e+02,3.356227084687821272e+00,5.866491000921963961e-02,7.000000000000000000e+01,3.392000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,3.213146976563015755e+02,3.356227084687821272e+00,-7.997956454574198792e-01,7.000000000000000000e+01,3.400999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,3.205131920357620743e+02,3.356227084687821272e+00,-1.141663888077324884e+00,7.000000000000000000e+01,3.421000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,3.187320684345630184e+02,3.356227084687821272e+00,-2.454702785295097112e+00,7.000000000000000000e+01,3.424000000000000199e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,3.184648998943831657e+02,3.356227084687821272e+00,-6.639490224563409093e-01,7.000000000000000000e+01,3.424000000000000199e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,3.184648998943831657e+02,3.356227084687821272e+00,-8.599198662531405690e-02,7.000000000000000000e+01,3.471999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,3.141902032515055794e+02,3.356227084687821272e+00,-5.547551186314191973e+00,7.000000000000000000e+01,3.475999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,3.138339785312657568e+02,3.356227084687821272e+00,-1.179864168341257846e+00,7.000000000000000000e+01,3.492000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,3.124090796503065235e+02,3.356227084687821272e+00,-1.998282509723331657e+00,7.000000000000000000e+01,3.500999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,3.116075740297670222e+02,3.356227084687821272e+00,-1.296887049670797598e+00,7.000000000000000000e+01,3.534000000000000341e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,3.086687200877885857e+02,3.356227084687821272e+00,-3.974252078557644730e+00,7.000000000000000000e+01,3.542999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,3.078672144672490845e+02,3.356227084687821272e+00,-1.552806620282713101e+00,7.000000000000000000e+01,3.539999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,3.081343830074289372e+02,3.356227084687821272e+00,1.449126453406144599e-01,7.000000000000000000e+01,3.565999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,3.058189223258702327e+02,3.356227084687821272e+00,-2.980122338338860644e+00,7.000000000000000000e+01,3.595000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,3.032362931041316187e+02,3.356227084687821272e+00,-3.730890070497920874e+00,7.000000000000000000e+01,3.600999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,3.027019560237719702e+02,3.356227084687821272e+00,-1.175261493469640373e+00,7.000000000000000000e+01,3.607999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
