t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,1.000000000000000000e+02,2.553500151715953734e+02,1.374754414921703471e+00,3.307189911685345010e+02,7.000000000000000000e+01,3.253000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,2.793939976757690147e+01,1.366852152639953886e+02,2.110640813880506617e+00,-1.108564563102989950e+02,7.000000000000000000e+01,3.243999999999999773e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+02,1.370135224263588896e+02,2.848294754229923509e+00,-1.393246882568256062e+01,7.000000000000000000e+01,3.263000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+02,1.363204295280359588e+02,3.582217218310267182e+00,-2.702142731839806800e+00,7.000000000000000000e+01,3.256000000000000227e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,1.365757795432075739e+02,4.317514436805532263e+00,-1.925158457899855957e-02,7.000000000000000000e+01,3.253000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,1.366852152639953886e+02,5.053400835764335852e+00,1.392433232863646841e-01,7.000000000000000000e+01,3.260000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,1.364298652488238019e+02,5.787912480308217589e+00,-3.126847602430844475e-01,7.000000000000000000e+01,3.292000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+02,1.352625508937536551e+02,6.516139533241028126e+00,-1.552355908281848329e+00,7.000000000000000000e+01,3.292000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+02,1.352625508937536551e+02,7.244366586173838662e+00,-2.010548460615857458e-01,7.000000000000000000e+01,3.321000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+02,1.342046722594713231e+02,7.966898227959116952e+00,-1.396161343694945600e+00,7.000000000000000000e+01,3.360000000000000142e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+02,1.327820078892295896e+02,8.681770523718402188e+00,-2.023402395571006984e+00,7.000000000000000000e+01,3.375999999999999801e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+02,1.321983507116945304e+02,9.393500523672152269e+00,-1.017992000772396155e+00,7.000000000000000000e+01,3.407999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+02,1.310310363566243552e+02,1.009894593201483204e+01,-1.643704443700954032e+00,7.000000000000000000e+01,3.446999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+02,1.296083719863826218e+02,1.079673199433151964e+01,-2.055463174674428739e+00,7.000000000000000000e+01,3.488000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+02,1.281127504689489740e+02,1.148646592364652363e+01,-2.203283637123632399e+00,7.000000000000000000e+01,3.497999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+02,1.277479647329895727e+02,1.217423591808306682e+01,-7.578160691781965497e-01,7.000000000000000000e+01,3.546000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+02,1.259969932003843383e+02,1.285257902510300454e+01,-2.365936634117822734e+00,7.000000000000000000e+01,3.582000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+02,1.246837645509304195e+02,1.352385196656048727e+01,-2.007267050511005735e+00,7.000000000000000000e+01,3.600999999999999801e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+02,1.239906716526075314e+02,1.419139343174889767e+01,-1.157638926772185162e+00,7.000000000000000000e+01,3.632999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+02,1.228233572975373704e+02,1.485265030532623776e+01,-1.661790947614181446e+00,7.000000000000000000e+01,3.663000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+02,1.217290000896590954e+02,1.550801537426819898e+01,-1.632595533860337067e+00,7.000000000000000000e+01,3.703999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+02,1.202333785722254760e+02,1.615532831020847482e+01,-2.148515534026414819e+00,7.000000000000000000e+01,3.759000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+02,1.182270570244486407e+02,1.679183960431722511e+01,-2.876773383933895811e+00,7.000000000000000000e+01,3.803999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+02,1.165855212126312495e+02,1.741951319147290533e+01,-2.498638687599146202e+00,7.000000000000000000e+01,3.839999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+02,1.152722925631773450e+02,1.804011661306613235e+01,-2.024454082680886113e+00,7.000000000000000000e+01,3.871999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+02,1.141049782081071839e+02,1.865443544304828905e+01,-1.774057333695685079e+00,7.000000000000000000e+01,3.903999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+02,1.129376638530370371e+02,1.926246968141937543e+01,-1.741626961541362872e+00,7.000000000000000000e+01,3.924000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+02,1.122080923811181776e+02,1.986657605003354021e+01,-1.170479869166192621e+00,7.000000000000000000e+01,3.964999999999999858e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+02,1.107124708636845583e+02,2.046263028564602138e+01,-2.088664185935394713e+00,7.000000000000000000e+01,4.003999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+02,1.092898064934428106e+02,2.105102517523251038e+01,-2.113092557215681122e+00,7.000000000000000000e+01,4.017000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+02,1.088155850366955519e+02,2.163686694947700317e+01,-8.878715965236272378e-01,7.000000000000000000e+01,4.071999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+02,1.068092634889187451e+02,2.221190708188996865e+01,-2.713499890116569890e+00,7.000000000000000000e+01,4.107000000000000028e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+02,1.055325134130607694e+02,2.278007344222832486e+01,-2.005036464703457533e+00,7.000000000000000000e+01,4.132999999999999829e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+02,1.045840704995662804e+02,2.334313357188268512e+01,-1.488069021506745582e+00,7.000000000000000000e+01,4.175000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+02,1.030519704085367039e+02,2.389794517504751425e+01,-2.177042616030931299e+00,7.000000000000000000e+01,4.217000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+02,1.015198703175071131e+02,2.444450825172281583e+01,-2.266275683814255260e+00,7.000000000000000000e+01,4.259000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,1.000000000000000000e+02,9.998777022647753654e+01,2.498282280190858629e+01,-2.277832789121784884e+00,7.000000000000000000e+01,4.293999999999999773e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+02,9.871102015061958923e+01,2.551426358001974748e+01,-1.948610627395565675e+00,7.000000000000000000e+01,4.322999999999999687e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.800000000000000000e+01,1.000000000000000000e+02,9.765314151633727136e+01,2.604000894698337731e+01,-1.622497686234471770e+00,7.000000000000000000e+01,4.352000000000000313e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+02,9.659526288205492506e+01,2.656005890279947224e+01,-1.580260859721953626e+00,7.000000000000000000e+01,4.388000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,1.000000000000000000e+02,9.528203423260100635e+01,2.707303869305311395e+01,-1.905509508292280163e+00,7.000000000000000000e+01,4.413000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+02,9.437006989270244617e+01,2.758110864611060720e+01,-1.427933123294898410e+00,7.000000000000000000e+01,4.449000000000000199e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.200000000000000000e+01,1.000000000000000000e+02,9.305684124324852746e+01,2.808210843360564368e+01,-1.885780637203594789e+00,7.000000000000000000e+01,4.484000000000000341e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000000e+02,9.178009116739055173e+01,2.857623444902607446e+01,-1.897833621535346627e+00,7.000000000000000000e+01,4.503999999999999915e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.400000000000000000e+01,1.000000000000000000e+02,9.105051969547172064e+01,2.906643259468958362e+01,-1.190711122715253367e+00,7.000000000000000000e+01,4.546000000000000085e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.500000000000000000e+01,1.000000000000000000e+02,8.951841960444214408e+01,2.954838221386356523e+01,-2.138530026071525203e+00,7.000000000000000000e+01,4.575000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.600000000000000000e+01,1.000000000000000000e+02,8.846054097015982620e+01,3.002463642189001192e+01,-1.647095277071205954e+00,7.000000000000000000e+01,4.596999999999999886e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.700000000000000000e+01,1.000000000000000000e+02,8.765801235104909495e+01,3.049656997318384910e+01,-1.252727648832753005e+00,7.000000000000000000e+01,4.645000000000000284e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.800000000000000000e+01,1.000000000000000000e+02,8.590704081844386053e+01,3.095907663706108082e+01,-2.430035576203645853e+00,7.000000000000000000e+01,4.678000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00
4.900000000000000000e+01,1.000000000000000000e+02,8.470324788977777075e+01,3.141510231583939472e+01,-1.873832175217591045e+00,7.000000000000000000e+01,4.713000000000000256e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+01,1.000000000000000000e+02,8.342649781391979502e+01,3.186425422254309936e+01,-1.896286105162037883e+00,7.000000000000000000e+01,4.742000000000000171e+01,5.000000000000000000e+01,0.000000000000000000e+00
5.100000000000000000e+01,1.000000000000000000e+02,8.236861917963746293e+01,3.230771071809927264e+01,-1.615720826168566049e+00,7.000000000000000000e+01,4.778000000000000114e+01,5.000000000000000000e+01,0.000000000000000000e+00
